Adaptive Gauss-Kronrod Results for zSQ(0.4) from MSEP
For random intercept -1.0, sd = 1.0, 50 clusters of size 100 each.
From CEM01.jl on 2023-05-03T19:33:31.321
truez,id,sumY,zhat
0.5696698102668788,1,45,0.7908542222099362
0.11377519733814205,2,29,0.09351472000497923
1.6507323291628109,3,68,1.7458227282611822
2.279197265162026,4,78,2.2553570311294826
-1.0367929414456898,5,13,-0.9168815126901185
0.6505545955015509,6,42,0.6683997966832051
1.4033781140821944,7,59,1.3563579717694563
-0.6586355601810086,8,16,-0.6731917817065383
0.1859371729124817,9,33,0.28155942577313586
0.9267541423070401,10,51,1.03206319601553
0.1521463282726657,11,26,-0.05780648226381749
0.7031719131021953,12,45,0.790854222209936
0.3668356935036124,13,27,-0.006204506697691796
-0.49005177345878365,14,14,-0.8309177426309083
-0.06354336320553527,15,33,0.28155942577313586
1.1027873487374795,16,56,1.2334845595678463
-1.0009139001477596,17,8,-1.4578485505760381
-0.20233550827693406,18,30,0.14182627873911186
0.7657076059463128,19,36,0.41492384417754063
-1.5092556458213344,20,6,-1.7633162700894571
1.3281917882677647,21,52,1.0721671060412674
0.7112532887360696,22,33,0.28155942577313586
1.0645842939851256,23,64,1.5676896178039026
1.1334675776041054,24,53,1.1123286297686177
0.382839363288615,25,35,0.3710756481124551
0.8624701643256443,26,52,1.0721671060412674
-0.736213112764238,27,12,-1.0085958146038527
0.6069460948851486,28,36,0.41492384417754075
-0.9086748991818132,29,12,-1.0085958146038527
-0.7817448336164079,30,10,-1.2135586152514615
-1.2816270026805523,31,8,-1.4578485505760381
0.891465413058068,32,40,0.5854409191134703
-0.022259081247329816,33,23,-0.22098293552846768
-0.1373280110098764,34,32,0.23577485643655866
1.0167554584059368,35,50,0.9919848393568409
0.8038344426445926,36,37,0.45823662851834224
-1.0891737879237553,37,11,-1.107062468880919
-0.6598755684715765,38,14,-0.8309177426309082
0.3741526882287214,39,28,0.04420191567726102
1.0274468093910678,40,58,1.31515076720501
0.5897648892673437,41,36,0.4149238441775408
1.0303240487810843,42,47,0.8715833985554114
0.3842393805320932,43,31,0.1892206883616041
0.4607727816172585,44,39,0.5434500349535132
-1.9739703970172606,45,2,-2.820616280374782
-0.005092117972238553,46,18,-0.5306223855748293
-0.05003508137974002,47,23,-0.22098293552846754
-0.23495423011123928,48,20,-0.39989929769663823
-0.24872072138015835,49,22,-0.27863838259532114
1.4540599861902015,50,60,1.397864178276055
